iter	Logloss
0	0.6722136601
1	0.6566085896
2	0.6403058129
3	0.6232858572
4	0.6055433391
5	0.5917398529
6	0.576144472
7	0.5609795578
8	0.5496923072
9	0.5364891149
10	0.5229342845
11	0.510659713
12	0.4991825534
13	0.4885299087
14	0.4777583661
15	0.4676858871
16	0.4569898493
17	0.4466099677
18	0.4365476464
19	0.4265656983
20	0.4168980339
21	0.4083531122
22	0.4017405157
23	0.3944525416
24	0.3867925434
25	0.380017258
26	0.3729674308
27	0.3662152462
28	0.3584123365
29	0.3495428328
30	0.341555842
31	0.3353261529
32	0.3284493128
33	0.3221203393
34	0.3157066393
35	0.3098935377
36	0.304759301
37	0.2987823168
38	0.2929310181
39	0.2882598045
40	0.2830311984
41	0.278807233
42	0.2739900418
43	0.2690427885
44	0.2649052814
45	0.2599927145
46	0.2556045388
47	0.25169584
48	0.2475638566
49	0.2420086558
50	0.238461402
51	0.2342140782
52	0.2310418678
53	0.2277754752
54	0.2238903688
55	0.2212692081
56	0.2180018325
57	0.2148919265
58	0.2109431582
59	0.2082055103
60	0.2050078351
61	0.2024246374
62	0.1991515042
63	0.1966292301
64	0.193105791
65	0.1911345782
66	0.1883814127
67	0.1853800244
68	0.1830811402
69	0.1804343626
70	0.1783537076
71	0.176073255
72	0.1731725905
73	0.1711546963
74	0.1691578081
75	0.1663441054
76	0.1640587142
77	0.1618317656
78	0.1597475296
79	0.157682006
80	0.1561579945
81	0.1545920294
82	0.1524758923
83	0.1505682946
84	0.1485921551
85	0.1472179011
86	0.1452485959
87	0.1437966136
88	0.1420494462
89	0.1401846915
