iter	Passed	Remaining
0	41	4299
1	64	3273
2	97	3290
3	123	3085
4	144	2854
5	158	2581
6	176	2442
7	190	2286
8	203	2146
9	219	2060
10	240	2036
11	251	1931
12	278	1946
13	306	1972
14	323	1917
15	354	1949
16	367	1879
17	380	1816
18	390	1748
19	402	1691
20	417	1650
21	425	1587
22	438	1543
23	452	1509
24	465	1472
25	476	1430
26	490	1399
27	506	1374
28	518	1341
29	520	1284
30	524	1235
31	537	1210
32	554	1193
33	571	1177
34	583	1151
35	592	1118
36	604	1095
37	622	1081
38	632	1054
39	647	1036
40	665	1022
41	681	1006
42	692	982
43	702	958
44	718	941
45	735	927
46	750	909
47	765	893
48	778	874
49	779	841
50	794	825
51	805	805
52	813	782
53	826	765
54	839	748
55	850	729
56	861	710
57	872	692
58	875	667
59	890	653
60	900	634
61	911	617
62	916	596
63	928	580
64	929	557
65	935	538
66	945	522
67	955	505
68	966	490
69	982	477
70	999	464
71	1013	450
72	1030	437
73	1063	431
74	1103	426
75	1105	407
76	1124	394
77	1169	389
78	1197	379
79	1216	365
80	1257	357
81	1272	341
82	1294	327
83	1310	312
84	1349	301
85	1360	284
86	1371	267
87	1390	252
88	1406	237
89	1425	221
